Name	K	nBurn	nSamp	alpha	a	b	sigma2mu	sigma2a
Test13	3	10000	10000	1/K	1	0.001	1	1
Test14	5	10000	10000	1/K	1	0.001	1	1
Test15	10	10000	10000	1/K	1	0.001	1	1
Test16	20	10000	10000	1/K	1	0.001	1	1
Test17	3	10000	10000	1/K	0.1	0.01	1	1
Test18	5	10000	10000	1/K	0.1	0.01	1	1
Test19	10	10000	10000	1/K	0.1	0.01	1	1
Test20	20	10000	10000	1/K	0.1	0.01	1	1
Test21	3	10000	10000	1/K	0.1	0.001	10	1
Test22	5	10000	10000	1/K	0.1	0.001	10	1
Test23	10	10000	10000	1/K	0.1	0.001	10	1
Test24	20	10000	10000	1/K	0.1	0.001	10	1
Test25	3	10000	10000	1/K	0.1	0.001	0.1	1
Test26	5	10000	10000	1/K	0.1	0.001	0.1	1
Test27	10	10000	10000	1/K	0.1	0.001	0.1	1
Test28	20	10000	10000	1/K	0.1	0.001	0.1	1
Test29	3	10000	10000	1/K	0.1	0.001	1	10
Test30	5	10000	10000	1/K	0.1	0.001	1	10
Test31	10	10000	10000	1/K	0.1	0.001	1	10
Test32	20	10000	10000	1/K	0.1	0.001	1	10
Test33	3	10000	10000	1/K	0.1	0.001	1	0.1
Test34	5	10000	10000	1/K	0.1	0.001	1	0.1
Test35	10	10000	10000	1/K	0.1	0.001	1	0.1
Test36	20	10000	10000	1/K	0.1	0.001	1	0.1
